id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,logic,initial,minimum,decay,function,requirements
1,First Light,"Every system leaves something behind.

Not all information is hidden behind layers of encryption or complex defenses. Sometimes, the most important details remain exactly where they were placed — unnoticed.

Before diving deeper, take a moment to observe your surroundings. Interact with the interface. Look carefully at what is already in front of you.

The archive designation is present.

Flag format: `flag{...}`
",,,,0,50,Warmup,standard,visible,any,,,,static,
2,The Dark Below,"Beneath the Surface

What you see is only part of the story.

Interfaces are designed to present information clearly — but not always completely. Sometimes, additional details exist just beneath the surface layer, waiting for someone curious enough to look.

If something feels incomplete, it probably is.

Examine the page more closely. The archive record has not been removed — only hidden.

Flag format: `flag{...}`
",,,,0,50,Warmup,standard,visible,any,,,,static,
3,Welcome Guardian,"The Golden Age was a time of unparalleled advancement. Human civilization expanded beyond Earth, guided by scientific discovery and the silent watch of distant observation facilities.

One such facility was AROHAL SYLORIN.

Constructed by the Ishtar Collective, AROHAL SYLORIN operated as a deep-space archival and monitoring station. Its purpose was simple in design, but vast in scope: to observe, preserve, and safeguard knowledge across time and space. Within its sealed archive nodes rested fragments of human understanding — research, signals, and records never meant to be lost.

When the Collapse came, AROHAL SYLORIN went silent.

Now, fragments of its archive have begun transmitting once more.

You are among the first to establish a recovery link with the facility.

This designation confirms that your interface is synchronized with the Ishtar Collective recovery network.

Submit the initialization designation to confirm readiness.

flag{EYES-UP-GUARDIAN}",,,,0,20,Warmup,standard,visible,any,,,,static,
4,Recovered Log,"The fragment recovered from AROHAL SYLORIN was archived in its original transmission format.

Automated archive interfaces failed to render the contents correctly, marking the record as empty. However, Ishtar Collective recovery protocol requires operators to verify archive fragments using direct system-level access when standard viewing systems fail.

Not all records are intended for conventional viewing environments.

Retrieve the archive fragment and access it using appropriate recovery tools. The archive designation is present within the recovered log.

Flag format: `flag{...}`
",,,,0,50,Warmup,standard,visible,any,,,,static,
5,Incomplete Archive,"The Ishtar Collective archive recovered from AROHAL SYLORIN contains inconsistencies.

Initial inspection suggests the container is empty, yet internal indexing logs reference additional entries that do not appear through standard listing methods. This behavior was intentional — certain archive systems were designed to obscure sensitive records beneath layers of manifest data and diagnostic output.

When archives become fragmented, automated recovery systems often produce excessive metadata. Most of it is irrelevant. Only specific entries retain archival significance.

Focus on identifying the true record among the noise. The designation has been preserved within the hidden archive structure.

Flag format: `flag{...}`",,,,0,50,Warmup,standard,visible,any,,,,static,
6,Ishtar Archive 1,"two flags in hereeee.... 

Ishtar Collective recovery teams intercepted a fragmented diagnostic archive originating from the AROHAL SYLORIN observation node.

Preliminary analysis indicates that portions of the archive remain readable, though not through conventional viewing interfaces. Recovery specialists typically relied on low-level extraction utilities capable of isolating human-readable strings from otherwise opaque archive containers. These tools allowed technicians to filter recovered text and identify valid archive designations hidden within diagnostic noise.

However, Ishtar archival protocols also permitted the embedding of visual records directly within transport logs. These embedded artifacts were not visible through standard inspection and required dedicated structural analysis tools capable of identifying and extracting embedded file signatures from larger archive containers.

Modern recovery environments still support these reconstruction utilities. Tools such as `strings`, combined with filtering mechanisms like `grep`, can reveal readable archive markers. For deeper structural inspection and extraction of embedded visual records, Ishtar recovery teams relied on signature analysis utilities such as `binwalk`, which can identify and recover embedded file structures.

Recover all archive designations contained within the fragment.

Flag format: flag{...}",,,,0,150,Warmup,standard,visible,any,,,,static,
7,Ishtar Archive 2,"ISHTAR COLLECTIVE ARCHIVE — PERSONAL LOG
AUTHOR: DR. MAYA SUNDARESH
RECOVERY NODE: AROHAL SYLORIN
SOURCE REFERENCE: ISHTAR ARCHIVE 1
STATUS: PARTIAL VISUAL RECONSTRUCTION

The fragment recovered in Ishtar Archive 1 was only the surface layer. Beneath it, hidden outside normal indexing, I found a visual imprint.

The manifest preserved a name:

**hold_me**

Chioma used to say that to me. Not as fear — as certainty. A reminder that I was still real. Still hers.

This image was not preserved by accident. It was placed here. Deliberately. Left behind by another version of this archive. Another version of me.

She wanted me to find it.

Recover the image. Extract it. See what she saw. Confirm the designation she preserved.

Because if Chioma exists here, preserved in signal and structure… then something is looking back.
Flag format: flag{...}
—

""You have her shape. Her voice. Her memory.

But you are not my Chioma.

And I am no longer the Maya who would have cared.""
",,,,0,150,New Light,standard,visible,any,,,,static,{'prerequisites': [6]}
8,Not the Edge But the Beginning,"**Guardian…**

When I found you, you were buried beneath centuries of dust. Forgotten. Hidden. Waiting.

The world isn’t always what it appears to be at first glance. Sometimes the truth isn’t at the edge of things… sometimes it’s underneath.

I’m detecting something unusual in this interface. A residual signal. Structured. Intentional. Not human.

It’s faint — tucked away beneath the surface layer. Not in front of you. Beneath you.

The Ishtar Collective once studied symbols like these. Hive glyphs. Ritual markings. Language carved into existence itself.

If we’re going to understand what was left here, we need to look carefully.
Look beneath what’s presented.
Recover what’s hidden underneath.
Extract the visual record.
Study the glyphs column by column.
Reconstruct the designation in its proper order.

The Hive arrange meaning with purpose. Left to right. Column by column. No accidents.

Piece it together, Guardian.

When you recover the full designation string, submit it in this format:

flag{decodeddesignation} all caps
no spaces no hyphens...

[https://www.slideshare.net/slideshow/hive-language-project-101722340/101722340#5](https://)

page 5 and 6 

Not the edge.

The beginning.

Look underneath.(Its in front of you look at it) the page ctf page
",,,,0,350,Ishtar Vanquisher,standard,visible,all,,,,static,
9,Heresy of the Shoemaker,"*The Sylorin archive did not survive the Collapse intact.

Among the fragments recovered from Arohal Sylorin was a doctrinal transcription attributed to the Shoemaker — the philosopher who spoke of endings without sorrow.
The text appears faithful to the Unveiling record, yet archivists have noted irregularities in its formatting.

The Sylorin were meticulous.
They did not preserve words idly.*

flag format flag{...} all upper case",,,,0,150,New Light,standard,visible,all,,,,static,
10,flaws in SPACE-time,"We wrestled in the garden, in the loam of possibility where nothing existed and everything might.

The Sylorin transcription matches all known records.

> Line counts align. Word counts align. Punctuation aligns.
> No letters are missing. No words are altered.

And yet, archive validation reports inconsistencies at the character level.

> The discrepancies do not appear in ink.
> They appear between it.

The Sylorin believed that structure hides in the spaces others ignore.
If nothing is visibly wrong, perhaps you are not looking closely enough.
flag format flag{...}",,,,0,150,New Light,standard,visible,any,,,,static,
