challenge_id,user_id,team_id,id,ip,provided,type,date
3,2,2,1,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:57:52.337350
3,12,8,3,152.57.71.89,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:58:25.225568
3,1,1,5,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:58:31.148544
3,6,3,6,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:58:40.912668
3,23,12,7,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:58:42.766094
23,4,2,9,103.89.233.254,flag{NOBODY-DENIES-MY-THIRST},correct,2026-02-23 03:58:47.378997
3,16,10,12,152.57.62.111,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:58:59.654039
1,1,1,13,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 03:59:00.249229
3,8,5,14,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 03:59:03.811588
1,12,8,16,152.57.71.89,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 03:59:55.297109
3,21,11,21,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:00:36.229788
3,10,7,22,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:00:48.339713
3,33,13,35,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:02:03.349645
21,22,8,51,103.89.233.254,flag{NOT-A-MONSTER-A-SAVIOR},correct,2026-02-23 04:02:48.129287
3,9,6,58,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:03:38.250926
1,18,4,84,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:04:25.851122
3,7,4,89,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:04:48.440862
22,22,8,101,103.89.233.254,flag{WASH-MY-HANDS-WITH-THEIR-BLOOD},correct,2026-02-23 04:05:16.021816
3,32,15,116,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:05:44.460006
4,1,1,129,103.89.233.254,flag{ISHTAR-DIRECT-ACCESS},correct,2026-02-23 04:06:20.099946
3,30,14,153,103.89.233.254,flag{EYES-UP-GUARDIAN},correct,2026-02-23 04:07:17.943207
19,27,10,156,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:07:22.793916
1,3,2,161,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:07:31.008828
20,22,8,193,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:08:22.648617
18,9,6,200,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:08:34.541130
19,4,2,216,103.89.233.254,flag{WHAT-WAS-NECESSARY},correct,2026-02-23 04:08:49.792346
20,27,10,237,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:09:37.419036
20,4,2,247,103.89.233.254,flag{DIVIDES-SILENTLY-CONQUERS},correct,2026-02-23 04:09:56.603883
1,14,5,253,152.57.50.111,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:10:14.797660
1,21,11,274,103.89.233.254,flag{ISHTAR-HIDDEN-IN-PLAIN-SIGHT},correct,2026-02-23 04:10:52.580352
18,10,7,280,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:10:59.184246
16,9,6,301,103.89.233.254,flag{GEOMETRY-AND-SILICA},correct,2026-02-23 04:11:37.683978
23,22,8,330,103.89.233.254,flag{THE-REGIME-FREED-ME},correct,2026-02-23 04:12:49.423878
18,24,8,357,103.89.233.254,flag{ETERNAL-AND-PERFECTED},correct,2026-02-23 04:14:00.948042
